State,Total,Year
Virginia,2191609,1988
Washington,1865253,1988
West Virginia,653311,1988
Wisconsin,2191608,1988
Wyoming,176551,1988
DC,192877,1988
Nationwi,92653233,1984
Alabama,1441713,1984
Alaska,207605,1984
Arizona,1025897,1984
Arkansas,884406,1984
California,9505423,1984
Colorado,1295381,1984
Connecticut,1466900,1984
Delaware,254572,1984
Florida,4180051,1984
Georgia,1776093,1984
Hawaii,335846,1984
Idaho,411144,1984
Illinois,4819088,1984
Indiana,2233069,1984
Iowa,1319805,1984
Kansas,1021991,1984
Kentucky,1370461,1984
Louisiana,1706822,1984
Maine,553144,1984
Maryland,1675873,1984
Massachusetts,2559453,1984
Michigan,3801658,1984
Minnesota,2084449,1984
Mississippi,940192,1984
Missouri,2122771,1984
Montana,384377,1984
Nebraska,652090,1984
Nevada,286667,1984
New Hampshire,388954,1984
New Jersey,3217862,1984
New Mexico,514370,1984
New York,6806810,1984
North Carolina,2175361,1984
North Dakota,308971,1984
Ohio,4547619,1984
Oklahoma,1255676,1984
Oregon,1226527,1984
Pennsylvania,4844903,1984
Rhode Island,410492,1984
South Carolina,968540,1984
South Dakota,317867,1984
Tennessee,1711993,1984
Texas,5397571,1984
Utah,629656,1984
Vermont,234561,1984
Virginia,2146635,1984
Washington,1883910,1984
West Virginia,735742,1984
Wisconsin,2212016,1984
Wyoming,188968,1984
DC,211288,1984
Nationwi,86509678,1980
Alabama,1341929,1980
Alaska,158445,1980
Arizona,873945,1980
Arkansas,837582,1980
California,8587063,1980
Colorado,1184415,1980
Connecticut,1406285,1980
Delaware,235668,1980
Florida,3687026,1980
Georgia,1597467,1980
Hawaii,303287,1980
Idaho,437431,1980
Illinois,4749721,1980
Indiana,2242033,1980
Iowa,1317661,1980
Kansas,979795,1980
Kentucky,1294627,1980
Louisiana,1548591,1980
Maine,523011,1980
Maryland,1540496,1980
Massachusetts,2524298,1980
Michigan,3909725,1980
Minnesota,2051953,1980
Mississippi,892620,1980
Missouri,2099824,1980
Montana,363952,1980
Nebraska,640854,1980
Nevada,247885,1980
New Hampshire,383999,1980
New Jersey,2975684,1980
New Mexico,456237,1980
New York,6201959,1980
North Carolina,1855833,1980
North Dakota,301545,1980
Ohio,4283603,1980
Oklahoma,1149708,1980
Oregon,1181516,1980
Pennsylvania,4561501,1980
Rhode Island,416072,1980
South Carolina,890083,1980
South Dakota,327703,1980
Tennessee,1617616,1980
Texas,4541637,1980
Utah,604222,1980
Vermont,213207,1980
Virginia,1866032,1980
Washington,1742394,1980
West Virginia,737715,1980
Wisconsin,2273221,1980
Wyoming,176713,1980
DC,173889,1980
Nationwi,81540780,1976
Alabama,1182850,1976
Alaska,123574,1976
Arizona,742719,1976
Arkansas,769396,1976
California,7867117,1976
Colorado,1081135,1976
Connecticut,1381526,1976
Delaware,235834,1976
Florida,3150631,1976
Georgia,1467458,1976
Hawaii,291301,1976
Idaho,340932,1976
Illinois,4718833,1976
Indiana,2220362,1976
Iowa,1279306,1976
Kansas,957845,1976
Kentucky,1167142,1976
