1964,TOT,Total,70641539,689817,67259,480770,560426,7057586,776986,1218578,201320,1854481,1139336,207271,292477,4702841,2091606,1184539,857901,1046105,896293,381221,1116457,2344798,3203102,1554462,409146,1817879,278628,584154,135433,288093,2846770,327615,7166015,1424983,258389,3969196,932499,786305,4822690,390091,524756,293118,1143946,2626811,400310,163089,1042267,1258556,792040,1691815,142716,198597
1964,DEM,LBJ,43129040,0,44329,237753,314197,4171877,476024,826269,122704,948540,522557,163249,148920,2796833,1170848,733030,464028,669659,387068,262264,730912,1786422,2136615,991117,52618,1164344,164246,307307,79339,184064,1867671,194017,4913156,800139,149784,2498331,519834,501017,3130954,315463,215700,163010,634947,1663185,219628,108127,558038,779881,538087,1050424,80718,169796
1964,REP,BarryGoldwater,27175754,479085,22930,242535,243264,2879108,296767,390996,78078,905941,616584,44022,143557,1905946,911118,449148,386579,372977,509225,118701,385495,549727,1060152,559624,356528,653535,113032,276847,56094,104029,963843,131838,2243559,624844,108207,1470865,412665,282779,1673657,74615,309048,130108,508965,958566,180682,54942,481334,470366,253953,638495,61998,28801
1960,TOT,Total,68832483,564473,60762,398491,428509,6506578,736246,1222883,196683,1544176,733349,184705,300450,4757409,2135360,1273810,928825,1124462,807891,421773,1055349,2469480,3318097,1541887,298171,1934422,277579,613095,107267,295761,2773111,311107,7291079,1368556,278431,4161859,903150,776421,5006541,405535,386688,306487,1051792,2311084,374709,167324,771449,1241572,837781,1729082,140782,
1960,DEM,JFK,34220984,318303,29809,176781,215049,3224099,330629,657055,99590,748700,458638,92410,138853,2377846,952358,550565,363213,521855,407339,181159,565808,1487174,1687269,779933,108362,972201,134891,232542,54880,137772,1385415,156027,3830085,713136,123963,1944248,370111,367402,2556282,258032,198129,128070,481453,1167567,169248,69186,362327,599298,441786,830805,63331,
1960,REP,RichardNixon,34108157,237981,30953,221241,184508,3259722,402242,565813,96373,795476,274472,92295,161597,2368988,1175120,722381,561474,602607,230980,240608,489538,976750,1620428,757915,73561,962221,141841,380553,52387,157989,1363324,153733,3446419,655420,154310,2217611,533039,408060,2439956,147502,188558,178417,556577,1121310,205361,98131,404521,629273,395995,895175,77451,
1960,OTHER,Other,503342,8189,0,469,28952,22757,3375,15,720,0,239,0,0,10575,7882,864,4138,0,169572,6,3,5556,10400,4039,116248,0,847,0,0,0,24372,1347,14575,0,158,0,0,959,10303,1,1,0,13762,22207,100,7,4601,13001,0,3102,0,
1956,TOT,Total,62021979,496871,,290173,406572,5466355,663074,1117121,177988,1124220,663480,,272989,4407407,1974607,1234564,866243,1053805,617544,351706,932351,2348506,3080468,1340005,248149,1832562,271171,577137,96689,266994,2484312,253926,7093336,1165592,253991,3702265,859350,735597,4576503,387611,300583,293857,939404,1955545,333995,152978,697978,1150889,830831,1550558,124127,
1956,DEM,AdlaiStevenson,26028028,280844,,112880,213277,2420135,263997,405079,79421,480371,441094,,105868,1775682,783908,501858,296317,476453,243977,102468,372613,948190,1359898,617525,144498,918273,116238,199029,40640,90364,850337,106098,2750769,590530,96742,1439655,385581,329204,1981769,161790,136372,122288,456507,859958,118364,42549,267760,523002,381534,586768,49554,
1956,REP,DwightD.Eisenhower,35579180,195694,,176990,186287,3027668,394479,711837,98057,643849,216652,,166979,2623327,1182811,729187,566878,572192,329047,249238,559738,1393197,1713647,719302,60685,914289,154933,378108,56049,176519,1606942,146788,4340340,575062,156766,2262610,473769,406393,2585252,225819,75700,171569,462288,1080619,215631,110390,386459,620430,449297,954844,74573,
1956,OTHER,Other,414771,20333,,303,7008,18552,4598,205,510,0,5734,,142,8398,7888,3519,3048,5160,44520,0,0,7119,6923,3178,42966,0,0,0,0,111,27033,1040,2227,0,483,0,0,0,9482,2,88511,0,20609,14968,0,39,43759,7457,0,8946,0,
